country_iso3,gdp_us_dollar,inflation_rate,gdp_growth,area,landlocked,continent,langoff_1,population,gdp_per_capita,agriculture_forestry_fishing_of_gdp,industry_of_gdp,merchandise_of_gdp,net_barter_of_trade,foreign_direct_investment_inflows
NIC,12756706583.0,3.997379967,4.792056766,130670,0,America,Spanish,6223234.0,2049.851666,16.1101157,25.73488598,93.27642619,206.5980803,967000000.0
NLD,765264949781.0,0.6002481473,1.959169721,41863,0,Europe,Dutch,16939923.0,45175.23189,1.724327834,18.18602103,141.4604184,93.77183967,322579599792.0
NOR,385801550067.0,2.171136654,1.967128438,323752,0,Europe,Norwegian,5188607.0,74355.51586,1.537557599,31.01037938,46.74398015,123.1962762,7274086872.0
NPL,21410840909.0,7.868908956,3.322905439,147181,1,Asia,Nepali,27015033.0,901.7496077,26.51850843,13.16165463,30.26584262,85.13037453,51895699.93
NZL,177467529071.0,0.2927046281,3.618967903,268676,0,Pacific,English,4609400.0,38630.72659,4.471293178,21.1416151,39.8220934,134.8614076,-73372796.42
OMN,68399663322.0,0.06529013303,4.630374517,212379,0,Asia,Arabic,4267341.0,16033.46383,1.989807283,53.49573982,89.05841949,147.5112507,-2172431730.0
PAK,270556131701.0,2.529328173,4.731147475,882872,0,Asia,Urdu,199426953.0,1356.667831,23.81706316,19.09099426,24.4891881,49.82010906,1673000000.0
PAN,54091700000.0,0.1374920585,5.732763632,75648,0,America,Spanish,3968490.0,13630.32287,2.786004533,27.55926037,62.58249864,162.1443795,5119300000.0
PER,189805300842.0,3.549288049,3.252244772,1285216,0,America,Spanish,30470739.0,6229.100674,7.04564406,30.33787987,38.11221271,163.5683002,8313966795.0
PHL,306445871632.0,0.6741925368,6.348309717,300000,0,Asia,English,102113206.0,3001.043182,10.99649915,30.48195098,43.5893889,82.16603765,5639155962.0
PLW,280457700.0,0.9490406437,7.539069794,487,0,Pacific,English,17665.0,15876.46193,2.918015801,6.966255517,55.62336138,96.90590275,34583158.15
PNG,21723531182.0,5.995957781,6.578356406,462840,0,Pacific,English,8107772.0,2679.346579,17.45693017,34.805415,50.65474813,168.7125148,213710099.4
POL,477811911394.0,-0.8741258741,4.236326306,312685,0,Europe,Polish,37986412.0,12578.49547,2.374644109,30.12683276,82.79345713,100.1040102,15065000000.0
PRT,199313894327.0,0.4879386239,1.792046046,92389,0,Europe,Portuguese,10358076.0,19242.36647,2.099443926,19.46438213,61.19041546,95.96141038,1270014233.0
PRY,36164068797.0,3.129002745,3.080374008,406752,1,America,Spanish,6688746.0,5413.776021,9.773175311,34.24949917,51.4976335,127.2500402,480469114.4
QAT,161739955578.0,1.814077239,4.753345721,11437,0,Asia,Arabic,2565708.0,63039.11263,0.1613183893,57.4407932,68.36962432,153.1283796,1070879121.0
RUS,1363481063447.0,15.53440505,-1.972719226,17075400,0,Asia,Russian,144096870.0,9313.013625,3.873104487,29.79405999,39.19658397,138.4996916,6852970000.0
RWA,8545441361.0,2.528502842,8.856844355,26338,1,Africa,French,11369066.0,751.0773926,23.9937393,17.43100117,35.88221824,173.232393,162083821.0
SAU,654269902889.0,1.206073222,4.106408869,2153168,0,Asia,Arabic,31717676.0,20627.92693,2.6193879,45.27245138,57.80886425,91.45958044,8141026667.0
SEN,17774766636.0,0.1352119336,6.367043651,196722,0,Africa,French,14578450.0,1219.249415,14.28257673,23.58666432,46.1721955,108.6438901,409166125.8
SGP,308004146058.0,-0.5226181671,2.988520676,646,0,Asia,English,5535002.0,55646.61875,0.0326135138,24.28842438,210.6056065,87.62251704,69774553125.0
SLE,4218723875.0,6.693679279,-20.59877072,73326,0,Africa,English,7171909.0,588.2288628,58.6518937,4.555925675,48.4032627,47.89253252,252435829.4
SLV,23438240000.0,-0.7313844874,2.395028298,21041,0,America,Spanish,6325121.0,3705.579704,5.529809405,25.28897221,67.419738,94.58358485,494541718.1
STP,316065369.9,5.250170864,3.911339748,964,0,Africa,Portuguese,199439.0,1584.775657,11.94616949,15.31847367,48.40759999,137.2742209,27924059.14
SUR,4787367928.0,6.893903592,-3.411095864,163820,0,America,Dutch,559136.0,9168.237157,10.40822152,27.25663717,71.78678847,126.6820613,183665852.7
SVK,88467555244.0,-0.3252197774,4.81489967,49036,1,Europe,Slovak,5423801.0,16310.98841,2.623777003,30.51119375,167.2737532,92.35860409,1520387926.0
SVN,43090173395.0,-0.5255522858,2.210081607,20256,0,Europe,Slovenian,2063531.0,20881.76693,2.096596213,28.02676657,143.2902101,95.95970196,1730147099.0
SWE,505103781350.0,-0.04678474498,4.489281588,449964,0,Europe,Swedish,9799186.0,51545.48361,1.449558382,22.15807176,55.12154339,92.4138947,10254328595.0
SWZ,4062999999.0,4.951244937,2.203324126,17364,1,Africa,Swati,1104038.0,3679.819798,9.355657868,35.75730076,79.35685718,110.2425604,31498094.37
SYC,1377495054.0,4.041944107,4.937385619,455,0,Africa,English,93419.0,14745.34146,2.045977369,11.8221643,102.069332,81.82294942,105893597.2
TCD,10950392220.0,4.377126651,2.767675685,1284005,1,Africa,French,14110971.0,776.0197523,50.3955823,13.65213457,55.94320164,126.1108235,559642022.5
TGO,4180866177.0,2.58390527,5.742868453,56785,0,Africa,French,7323162.0,570.9099672,24.37400299,15.59274967,80.05518135,115.1750732,257860036.5
THA,401295941041.0,-0.9004249633,3.133896962,513115,0,Asia,Thai,68714519.0,5840.053067,8.872723648,36.17917733,103.9039875,102.1271742,8927579182.0
TJK,7854602392.0,5.714559496,6.008287872,143095,1,Asia,Tajik,8454019.0,978.4049812,21.59057472,30.2202135,52.31244522,82.85400626,454012320.0
TKM,35799714286.0,7.41,6.49999991,488100,1,Asia,Turkmen,5565283.0,6432.685325,9.306538759,54.29333035,47.4864125,172.7565323,3042968000.0
