country_iso3,area,net_barter_of_trade,gdp_us_dollar,gdp_growth,langoff_1,landlocked,industry_of_gdp,population,gdp_per_capita,merchandise_of_gdp,agriculture_forestry_fishing_of_gdp,foreign_direct_investment_inflows,continent,inflation_rate
AFG,652225,167.5489697,18869945678.0,2.647003202,Persian,1,10.051874,36296111.0,519.8889126,41.27197891,26.42019908,51533896.77,Asia,4.975951506
AGO,1246700,147.7066494,122123822334.0,-0.1472129411,Portuguese,0,42.16795355,29816769.0,4095.810057,40.18544381,10.01699591,-7397295409.0,Africa,29.84358669
ALB,28748,94.53256107,13019693451.0,3.802197488,Albanian,0,20.35836057,2873457.0,4531.020806,58.08892528,19.02214284,1022757857.0,Europe,2.060598459
ARE,83657,152.8648477,385605506855.0,2.373536708,Arabic,0,42.57462498,9487206.0,40644.79119,152.2947649,0.7705473397,10354223000.0,Asia,1.966825578
ARG,2766889,150.7457768,643628665303.0,2.818502972,Spanish,0,21.78212322,44044811.0,14613.04182,19.51140569,5.231622377,11516861462.0,America,25.68
ARM,29800,132.1706988,11527458566.0,7.500000002,Armenian,1,25.80953238,2944789.0,3914.527854,55.81455759,14.99426012,250935110.2,Asia,0.9695532688
ATG,442,54.62271146,1467977778.0,3.145543603,English,0,19.22069665,95425.0,15383.5764,39.16953027,1.793598652,156934594.9,America,2.43248789
AUS,7686848,172.4928872,1329188475752.0,2.300610624,English,0,23.46106467,24601860.0,54027.96682,34.60088681,2.704424891,47281951027.0,Pacific,1.948647409
AUT,83858,87.39412265,417237869116.0,2.399587603,German,1,25.40948444,8797566.0,47309.36627,82.59850871,1.210593152,13518864836.0,Europe,2.081269114
AZE,86600,123.794084,40865558912.0,0.1536146467,Azeri,1,49.7017251,9854033.0,4147.089716,59.37518205,5.607369011,2867487000.0,Asia,12.93591842
BDI,27834,161.5562119,3172292379.0,0.5000099988,French,1,10.99312984,10827010.0,292.9980095,29.22177054,28.54664701,316473.4494,Africa,16.0525353
BEL,33114,95.76767056,502698069367.0,1.608086835,Dutch,0,19.23536249,11375158.0,44089.31009,167.2635592,0.6650936602,-37288840312.0,Europe,2.12597086
BEN,112622,129.9256095,12701656931.0,5.671555469,French,0,15.10758585,11175192.0,1136.59397,44.95476865,28.48901653,200902719.3,Africa,1.769412474
BFA,274200,140.4540499,14106956830.0,6.203489411,French,1,25.14023722,19193236.0,734.996268,47.74949042,20.58558722,2572690.322,Africa,1.482998972
BGD,143998,66.2913641,249711027660.0,7.284174423,Bengali,0,27.75089998,159685421.0,1563.767819,35.51586736,13.413466,1810395804.0,Asia,5.702070157
BGR,110994,111.0493019,58971520599.0,3.50275153,Bulgarian,0,24.25257907,7075947.0,8334.081728,111.2774426,4.034631896,2007290000.0,Europe,2.061596194
BHR,678,137.9868329,35473776596.0,4.290949778,Arabic,0,41.17680576,1494077.0,23742.93734,80.40023572,0.2905952404,518882978.7,Asia,1.386718306
BHS,13939,78.64972193,12490700000.0,3.115613515,English,0,13.33632222,381749.0,32719.66659,29.46191967,0.7677712218,304587573.1,America,1.499926233
BIH,51233,103.1469075,18080118128.0,3.171434875,Serbo-Croatian,0,24.00228555,3351534.0,5394.579953,93.50602623,5.601857227,509429047.9,Europe,0.810133322
BLR,207595,97.76388586,54726595249.0,2.5321835,Belarussian,0,31.55448509,9498264.0,5761.74712,115.9893096,7.565802538,1276300000.0,Europe,6.031837252
BOL,1098581,103.6572313,37508642165.0,4.195206301,Spanish,1,26.36997443,11192853.0,3351.124344,45.68013932,11.58933594,712474137.8,America,2.822758055
BRA,8511920,116.0580489,2062831045936.0,1.322869054,Portuguese,0,18.18850231,207833825.0,9928.643063,18.18660381,4.600591696,68885491315.0,America,3.44637335
BRN,5765,141.9753174,12128104859.0,1.328602552,Malay,0,59.72051088,424481.0,28571.60829,71.37141458,1.086449483,467927550.3,Asia,-1.260505646
BTN,46620,123.1562601,2450364928.0,4.651834675,Burmese,1,41.84296363,745563.0,3286.596744,65.37801703,15.03361881,-16553759.95,Asia,4.95508367
BWA,600372,87.56769633,17405588070.0,2.903997732,English,1,29.83522096,2205076.0,7893.418671,64.3414055,1.989850706,260575129.4,Africa,3.308280768
CAF,622984,79.32549068,2072350151.0,4.527278213,French,1,20.73722455,4596023.0,450.900697,30.30376181,32.79017123,6888751.401,Africa,4.180723319
CAN,9976139,105.5229537,1649878054227.0,3.170729897,English,0,24.02780289,36545295.0,45129.35644,52.40611196,1.889994632,25357801000.0,America,1.596884129
CHE,41288,109.6366246,679950481623.0,1.79940885,German,1,24.49631399,8451840.0,83352.08865,80.83099573,0.6230191152,142756382246.0,Europe,0.5337878398
CHL,756945,214.4231458,277044950259.0,1.188572582,Spanish,0,29.44353008,18470435.0,14998.81706,48.38852745,3.980306434,6127820993.0,America,2.182718469
